augmentiert;accusative
beherrscht;accusative
belebt;accusative
beschwört;accusative
channelt;accusative
durchströmt;accusative
energetisiert;accusative
entsteht durch;accusative
entstört;accusative
fließt durch;accusative
gehorcht;dative
harmonisiert;accusative
harmonisiert mit;dative
heilt;accusative
informiert;accusative
interferiert mit;dative
kanalisiert;accusative
neutralisiert;accusative
ist;nominative
potenziert;accusative
reinigt;accusative
resoniert mit;dative
unterstützt;accusative
verbindet;accusative
verstärkt;accusative